Speaker,Time,Sex,Date,Club,TT,ON_OFF
Kaz,181,0,12/16/2019,Omotesando Bilingual TMC,,1
Taishi,127,0,12/16/2019,Omotesando Bilingual TMC,,1
Fujita,78,0,12/16/2019,Omotesando Bilingual TMC,,1
Yuka,113,0,12/16/2019,Omotesando Bilingual TMC,,1
Andrew,125,1,12/18/2019,Chamber,0,1
Anna,75,0,12/18/2019,Chamber,0,1
Olha,100,0,12/18/2019,Chamber,1,1
Svetlana,87,0,12/18/2019,Chamber,0,1
Maksym,60,1,12/18/2019,Chamber,0,1
Olha,110,0,12/18/2019,Chamber,0,1
Vitaliy,90,1,12/18/2019,Chamber,0,1
Timur,125,1,12/18/2019,Chamber,0,1
Nataly,120,0,12/18/2019,Chamber,0,1
Jovani,110,1,12/18/2019,Chamber,0,1
Mariam,70,0,12/18/2019,Chamber,0,1
Vasyl,138,1,12/25/2019,Chamber,0,1
Kiki,76,0,12/25/2019,Chamber,0,1
Ihor,130,1,12/25/2019,Chamber,0,1
Farid,76,1,12/25/2019,Chamber,0,1
Dayana,85,0,12/25/2019,Chamber,0,1
Nataly,80,0,12/25/2019,Chamber,1,1
Alex,144,1,12/25/2019,Chamber,1,1
Maksym,138,1,12/25/2019,Chamber,0,1
Sergiy,38,1,12/25/2019,Chamber,0,1
Lyudmyla,110,0,12/25/2019,Chamber,0,1
Alex,150,1,1/8/2020,Chamber,1,1
Anna,126,0,1/8/2020,Chamber,0,1
Oleksandr,73,1,1/8/2020,Chamber,0,1
Lubov,85,0,1/8/2020,Chamber,0,1
Ruslan,91,1,1/8/2020,Chamber,0,1
Mariya,47,0,1/8/2020,Chamber,0,1
Maryna,85,0,1/15/2020,Chamber,0,1
Yousef,80,1,1/15/2020,Chamber,0,1
Lyudmyla,75,0,1/15/2020,Chamber,0,1
Andrew,89,1,1/15/2020,Chamber,1,1
Arsen,70,1,1/15/2020,Chamber,0,1
Maksym,59,1,1/15/2020,Chamber,0,1
Daria,75,0,1/15/2020,Chamber,0,1
Anna,89,0,1/15/2020,Chamber,0,1
Yuriy,108,1,1/15/2020,Chamber,0,1
Ivan,105,1,1/20/2020,Chamber,0,1
Anton,85,1,1/20/2020,Chamber,0,1
Nataly,140,0,1/20/2020,Chamber,0,1
Yuriy,120,1,1/20/2020,Chamber,0,1
Dennis,150,1,1/20/2020,Chamber,0,1
Alex,130,1,1/20/2020,Chamber,1,1
Marwan,90,1,1/20/2020,Chamber,0,1
Olena,80,0,1/20/2020,Chamber,0,1
Michael,85,1,1/20/2020,Chamber,0,1
Svetlana,120,0,1/20/2020,Chamber,0,1
Anna,125,0,1/27/2020,Chamber,0,1
Alex,120,1,1/27/2020,Chamber,0,1
Valery,105,0,1/27/2020,Chamber,1,1
Svetlana,105,0,1/27/2020,Chamber,0,1
Nick,140,1,1/27/2020,Chamber,0,1
Marwan,71,1,1/27/2020,Chamber,0,1
Andrew,115,1,1/27/2020,Chamber,0,1
Valeria,70,0,2/3/2020,Chamber,0,1
Zahar,89,1,2/3/2020,Chamber,0,1
Alex,165,1,2/3/2020,Chamber,0,1
Tetiana,119,0,2/3/2020,Chamber,1,1
Uliana,60,0,2/3/2020,Chamber,0,1
Vlad,84,1,2/3/2020,Chamber,0,1
Olena,125,0,2/3/2020,Chamber,0,1
Oleksandr,174,1,2/3/2020,Chamber,0,1
Ivan,176,1,2/3/2020,Chamber,0,1
Kostya,159,1,2/3/2020,Chamber,0,1
Lyudmyla,147,0,2/17/2020,Chamber,0,1
Valeriya,83,0,2/17/2020,Chamber,0,1
Oksana,137,0,2/17/2020,Chamber,0,1
Oleksandr,128,1,2/17/2020,Chamber,0,1
Liliya,118,0,2/17/2020,Chamber,0,1
Alex,138,1,2/17/2020,Chamber,1,1
Yuriy,122,1,2/17/2020,Chamber,0,1
Andrew,86,1,2/17/2020,Chamber,0,1
Oleksandr,86,1,2/17/2020,Chamber,0,1
Olena,124,0,2/17/2020,Chamber,0,1
Adele,76,0,2/17/2020,Chamber,0,1
Michael,135,1,2/17/2020,Chamber,0,1
Michael,84,1,2/19/2020,Chamber,0,1
Ivan,127,1,2/19/2020,Chamber,1,1
Alex,117,1,2/19/2020,Chamber,0,1
Lubov,109,0,2/19/2020,Chamber,0,1
Vlad,108,1,2/19/2020,Chamber,0,1
Vlad,66,1,2/24/2020,Chamber,0,1
Alex,194,1,2/24/2020,Chamber,1,1
Olena,102,0,2/24/2020,Chamber,0,1
Ivan,187,1,2/24/2020,Chamber,0,1
Michael,82,1,3/2/2020,Chamber,,1
Taras,95,1,3/2/2020,Chamber,,1
Alex,125,1,3/2/2020,Chamber,,1
Lyudmyla,116,0,3/2/2020,Chamber,,1
Oksana,67,0,3/2/2020,Chamber,,1
Ruslan,102,1,3/2/2020,Chamber,,1
Michael,100,1,3/2/2020,Chamber,,1
Alex,111,1,3/2/2020,Chamber,,1
Taras,124,1,3/2/2020,Chamber,,1
Olena,95,0,3/2/2020,Chamber,,1
Unknown,83,0,3/2/2020,Chamber,,1
Nataly,89,0,3/2/2020,Chamber,,1
Oleksandr,135,1,3/2/2020,Chamber,,1
Vlad,160,1,3/4/2020,Chamber,1,1
Vadym,122,1,3/4/2020,Chamber,0,1
Lyudmyla,97,1,3/4/2020,Chamber,0,1
Timur,136,1,3/4/2020,Chamber,0,1
Ivan,68,1,3/4/2020,Chamber,0,1
Vladyslav,134,1,3/4/2020,Chamber,0,1
Silvana,77,0,3/4/2020,Chamber,0,1
Lyudmyla,132,0,3/4/2020,Chamber,0,1
Anna,100,0,3/4/2020,Chamber,0,1
Timur,123,1,3/11/2020,Chamber,0,1
Michael,90,1,3/11/2020,Chamber,0,1
Mariya,129,0,3/11/2020,Chamber,1,1
Andrew,75,1,3/11/2020,Chamber,0,1
Lyudmyla,90,0,3/11/2020,Chamber,0,1
Iryna,71,0,3/11/2020,Chamber,0,1
Yulia,85,0,3/11/2020,Chamber,0,1
Vlad,105.88,1,4/1/2020,Chamber,,0
Oleksandr,95.2,1,4/1/2020,Chamber,,0
Alex,120.09,1,4/1/2020,Chamber,,0
Ivan,103.74,1,4/1/2020,Chamber,,0
Taras,135.15,1,4/1/2020,Chamber,,0
Anna,80,0,4/22/2020,Chamber,0,0
Nailah,102,0,4/22/2020,Chamber,0,0
Liliya,94,0,4/22/2020,Chamber,0,0
Oksana,80,0,4/22/2020,Chamber,0,0
Damon,60,1,4/22/2020,Chamber,1,0
Michael,90,1,4/22/2020,Chamber,0,0
Alex,112,1,4/22/2020,Chamber,0,0
Ruslan,129,1,4/22/2020,Chamber,0,0
Yuriy,114,1,4/22/2020,Chamber,0,0
Fedor,110,1,4/22/2020,Chamber,0,0
Dennis,91,1,4/22/2020,Chamber,0,0
Ivan,90,1,4/29/2020,Chamber,0,0
Nataly,145,0,4/29/2020,Chamber,1,0
Iryna,150,0,4/29/2020,Chamber,0,0
Narjesh,90,0,4/29/2020,Chamber,0,0
Alex,132,1,4/29/2020,Chamber,0,0
Oleksandr,140,1,4/29/2020,Chamber,0,0
Dmytro,77,1,4/29/2020,Chamber,0,0
Olha,84,0,4/29/2020,Chamber,0,0
Ivan,105,1,5/13/2020,Chamber,,0
Nataly,160,0,5/13/2020,Chamber,,0
Kostya,116,1,5/13/2020,Chamber,,0
Halyna,70,0,5/13/2020,Chamber,,0
Alex,168,1,5/13/2020,Chamber,,0
Halyna,80,0,5/20/2020,Chamber,,0
Ruslan,108,1,5/20/2020,Chamber,,0
Oleksandr,170,1,5/20/2020,Chamber,,0
Bas,78,1,5/20/2020,Chamber,,0
Yulia,87,0,5/20/2020,Chamber,,0
Michael,110,1,5/20/2020,Chamber,,0
Michael,135,1,5/27/2020,Chamber,,0
Dennis,80,1,5/27/2020,Chamber,,0
Nataly,143,0,5/27/2020,Chamber,,0
Ruslan,96,1,5/27/2020,Chamber,,0
Alex,90,1,5/27/2020,Chamber,,0
Oksana,115,0,5/27/2020,Chamber,,0
Yulia,95,0,5/27/2020,Chamber,,0
Kostya,55,1,5/27/2020,Chamber,,0
Taras,125,1,5/27/2020,Chamber,,0
Maryna,105,0,5/27/2020,Chamber,,0
Yana,110,0,5/27/2020,Chamber,,0
Halyna,90,0,6/10/2020,Chamber,,0
Alex,30,1,6/10/2020,Chamber,,0
Ruslan,124,1,6/10/2020,Chamber,,0
Oksana,95,0,6/10/2020,Chamber,,0
Lyudmyla,98,0,6/10/2020,Chamber,,0
Kostya,70,1,6/10/2020,Chamber,,0
金田,73,,6/10/2020,Utsunomiya TMC,,1
Unknown,118,,6/10/2020,Utsunomiya TMC,,1
行田,73,,6/10/2020,Utsunomiya TMC,,1
丸山,64,,6/10/2020,Utsunomiya TMC,,1
Kobayashi,88,,6/10/2020,Utsunomiya TMC,,1
Yukida,118,,6/10/2020,Utsunomiya TMC,,1
Hirano,117,,6/10/2020,Utsunomiya TMC,,1
Ohara,119,,6/10/2020,Utsunomiya TMC,,1
Kate,79,0,7/1/2020,Chamber,,0
Olena,90,0,7/1/2020,Chamber,,0
Varvara,110,0,7/8/2020,Chamber,,0
Nataly,120,0,7/8/2020,Chamber,,0
Alex,126,1,7/8/2020,Chamber,,0
Ruslan,132,1,7/8/2020,Chamber,,0
Oksana,177,0,7/8/2020,Chamber,,0
Victoria,120,0,7/8/2020,Chamber,,0
Dennis,57,1,7/8/2020,Chamber,,0
Kostya,90,1,7/8/2020,Chamber,,0
Alex,118,1,7/8/2020,Chamber,,0
Vyacheslav,114,1,7/8/2020,Chamber,,0
Iryna,75,0,7/8/2020,Chamber,,0
Olha,119,0,7/8/2020,Chamber,,0
Andrew,77,1,7/28/2020,Chamber,,0
Ivan,140,1,7/28/2020,Chamber,,0
Alex,90,1,7/28/2020,Chamber,,0
Maksym,120,1,7/28/2020,Chamber,,0
Olena,107,0,7/28/2020,Chamber,,0
Dmytro,100,1,7/28/2020,Chamber,,0
Halyna,110,0,7/28/2020,Chamber,,0
Halyna,57,0,7/28/2020,Chamber,,0
Ivan,101,1,7/28/2020,Chamber,,0
Alex,125,1,7/28/2020,Chamber,,0
Kostya,93,1,7/28/2020,Chamber,,0
Dennis,105,1,7/28/2020,Chamber,,0
Maksym,107,1,7/28/2020,Chamber,,0
Olena,55,0,8/4/2020,Chamber,,0
Nataly,115,0,8/4/2020,Chamber,,0
Olha,80,0,8/4/2020,Chamber,,0
Olena,50,0,8/4/2020,Chamber,,0
Oksana,115,0,8/4/2020,Chamber,,0
Alex,124,1,8/4/2020,Chamber,,0
Fedor,74,1,8/4/2020,Chamber,,0
Kate,60,0,8/4/2020,Chamber,,0
Oksana,122,0,8/11/2020,Chamber,,0
Ivan,194,1,8/11/2020,Chamber,,0
Dmytro,75,1,8/11/2020,Chamber,,0
Lubov,96,0,8/11/2020,Chamber,,0
Olena,107,0,8/11/2020,Chamber,,0
Alex,134,1,8/11/2020,Chamber,,0
Dennis,58,1,8/11/2020,Chamber,,0
Ivan,120,1,8/18/2020,Chamber,0,0
Lubov,102,0,8/18/2020,Chamber,0,0
Marwan,60,1,8/18/2020,Chamber,0,0
Alex,105,1,8/18/2020,Chamber,1,0
Kostya,70,1,8/18/2020,Chamber,0,0
Alex,84,1,8/25/2020,Chamber,,0
Dennis,113,1,8/25/2020,Chamber,,0
Yulia,55,0,8/25/2020,Chamber,,0
Olha,30,0,8/25/2020,Chamber,,0
Andrew,140,1,9/22/2020,Chamber,0,1
Larysa,129,0,9/22/2020,Chamber,0,1
Dennis,138,1,9/22/2020,Chamber,1,1
Viktor,122,1,9/22/2020,Chamber,0,1
Alina,115,0,9/22/2020,Chamber,0,1
Narjess,125,0,10/13/2020,Chamber,0,0
Dennis,110,1,10/13/2020,Chamber,0,0
Alex,135,1,10/13/2020,Chamber,1,0
Maryna,80,0,10/13/2020,Chamber,0,0
Olena,68,0,10/13/2020,Chamber,0,0
Ivan,140,1,10/13/2020,Chamber,0,0
Alex,84,1,10/20/2020,Chamber,1,0
Narjess,86,0,10/20/2020,Chamber,0,0
Fedor,123,1,10/20/2020,Chamber,1,0
Maksym,143,1,10/20/2020,Chamber,0,0
Anna,103,0,10/20/2020,Chamber,0,0
Yulia,143,0,10/20/2020,Chamber,1,0
Kostya,91,1,10/20/2020,Chamber,0,0
Marwan,185,1,11/3/2020,Chamber,,0
Marta,195,0,11/3/2020,Chamber,,0
Alex,107,1,11/3/2020,Chamber,,0
Anna,160,0,11/3/2020,Chamber,,0
Kostya,100,1,11/17/2020,Chamber,,0
Genia,50,0,11/17/2020,Chamber,,0
Fedor,150,1,11/17/2020,Chamber,,0
Ihor,75,1,11/17/2020,Chamber,,0
Anna,137,0,11/17/2020,Chamber,,0
